game,key,isStatic,contentType,character,gender,English,_id,GT
Doctor_Common,tdoc_spray_tut4,0,Both,Narrator,Female,Spray many times until the affected area is covered completely.,666046b0314c693233a239c3,
Doctor_Common,tdoc_stethoscope_hold_figurine,0,VO,Narrator,Female,Hold the stethoscope figurine as shown.,666046b0314c693233a239df,
Doctor_Common,tdoc_stethoscope_text,0,Text,,,Place the stethescope figurine.,666046b0314c693233a23a14,
Doctor_Common,tdoc_stethoscope_tut1,0,VO,Narrator,Female,Place the stethoscope figurine on the highlighted area.,666046b0314c693233a23a6e,
Doctor_Common,tdoc_stethoscope_tut2,0,VO,Narrator,Female,Hold the figurine until the heart rate appears.,666046b0314c693233a23abf,
Doctor_Common,tdoc_swipe_text,0,Text,,,Swipe left or right.,666046b0314c693233a23add,
Doctor_Common,tdoc_syringe_hold_figurine,0,VO,Narrator,Female,Hold the syringe figurine as shown.,666046b0314c693233a23b19,
Doctor_Common,tdoc_syringe_text,0,Text,,,Place the syringe figurine.,666046b0314c693233a23b40,
Doctor_Common,tdoc_syringe_tut1,0,VO,Narrator,Female,Place the syringe figurine on the highlighted area.,666046b0314c693233a23b6f,
Doctor_Common,tdoc_syringe_tut2,0,Both,Narrator,Female,Hold the figurine with both hands.,666046b0314c693233a23ba3,
Doctor_Common,tdoc_syringe_tut3,0,Both,Narrator,Female,Pull the plunger to fill up the syringe.,666046b0314c693233a23bc6,
Doctor_Common,tdoc_syringe_tut4,0,Both,Narrator,Female,Push the plunger to empty the syringe.,666046b0314c693233a23bf3,
Doctor_Common,tdoc_temperature_100.0,0,Text,,,100.0 °F,666046b0314c693233a23c1d,
Doctor_Common,tdoc_temperature_101.0,0,Text,,,101.0 °F,666046b0314c693233a23c59,
Doctor_Common,tdoc_temperature_102.0,0,Text,,,102.0 °F,666046b0314c693233a23c7d,
Doctor_Common,tdoc_temperature_103.0,0,Text,,,103.0 °F,666046b0314c693233a23cc9,
Doctor_Common,tdoc_temperature_104.0,0,Text,,,104.0 °F,666046b0314c693233a23d0f,
Doctor_Common,tdoc_temperature_97.0,0,Text,,,97.0 °F,666046b0314c693233a23d6c,
Doctor_Common,tdoc_temperature_97.8,0,Text,,,97.8 °F,666046b1314c693233a23d9b,
Doctor_Common,tdoc_temperature_98.0,0,Text,,,98.0 °F,666046b1314c693233a23dd0,
Doctor_Common,tdoc_temperature_98.6,0,Text,,,98.6 °F,666046b1314c693233a23e1c,
Doctor_Common,tdoc_temperature_99.8,0,Text,,,99.8 °F,666046b1314c693233a23e45,
Doctor_Common,tdoc_thermometer_hold_figurine,0,VO,Narrator,Female,Hold the thermometer figurine as shown.,666046b1314c693233a23e76,
Doctor_Common,tdoc_thermometer_tut1,0,Both,Narrator,Female,Place the thermometer figurine on the highlighted area.,666046b1314c693233a23e9d,
Doctor_Common,tdoc_thermometer_tut2,0,Both,Narrator,Female,Hold the figurine until the temperature appears.,666046b1314c693233a23eda,
Doctor_Common,tdoc_tut_bandage,0,Text,,,Learn to use the bandage figurine!,666046b1314c693233a23f10,
Doctor_Common,tdoc_tut_bloodpressure,0,Text,,,Learn to use the blood pressure figurine!,666046b1314c693233a23f2a,
Doctor_Common,tdoc_tut_end,0,VO,Narrator,Female,Great job! You’re all set to play!,666046b1314c693233a23f56,
Doctor_Common,tdoc_tut_flashlight,0,Text,,,Learn to use the flash light figurine!,666046b1314c693233a23f89,
Doctor_Common,tdoc_tut_magnifier,0,Text,,,Learn to use the magnifier figurine!,666046b1314c693233a23fa5,
Doctor_Common,tdoc_tut_medicine,0,Text,,,Learn to use the medicine figurine!,666046b1314c693233a23fe4,
Doctor_Common,tdoc_tut_scissors,0,Text,,,Learn to use the scissors figurine!,666046b1314c693233a24016,
Doctor_Common,tdoc_tut_spray,0,Text,,,Learn to use the spray figurine!,666046b1314c693233a2404c,
Doctor_Common,tdoc_tut_stethoscope,0,Text,,,Learn to use the stethoscope figurine!,666046b1314c693233a24088,
Doctor_Common,tdoc_tut_syringe,0,Text,,,Learn to use the syringe figurine!,666046b1314c693233a240c7,
Doctor_Common,tdoc_tut_thermometer,0,Text,,,Learn to use the thermometer figurine!,666046b1314c693233a240e2,
Doctor_Common,tdoc_tut_ultrasound,0,Text,,,Learn to use the ultrasound figurine!,666046b1314c693233a24108,
Doctor_Common,tdoc_tut_xray,0,Text,,,Learn to use the X ray figurine!,666046b2314c693233a24147,
Doctor_Common,tdoc_ultrasound_hold_figurine,0,VO,Narrator,Female,Hold the ultrasound figurine as shown.,666046b2314c693233a24170,
Doctor_Common,tdoc_ultrasound_text,0,Text,,,Place the ultrasound figurine.,666046b2314c693233a241b1,
Doctor_Common,tdoc_ultrasound_tut1,0,VO,Narrator,Female,Place the ultrasound figurine on the highlighted area.,666046b2314c693233a241e3,
Doctor_Common,tdoc_ultrasound_tut2,0,VO,Narrator,Female,Drag the figurine to scan the affected area.,666046b2314c693233a24202,
Doctor_Common,tdoc_xray_hold_figurine,0,VO,Narrator,Female,Hold the X-ray figurine as shown.,666046b2314c693233a24233,
Doctor_Common,tdoc_xray_text,0,Text,,,Place the X-ray figurine.,666046b2314c693233a2426e,
Doctor_Common,tdoc_xray_tut1,0,VO,Narrator,Female,Place the X-ray figurine on the highlighted area.,666046b2314c693233a242b2,
Doctor_Common,tdoc_xray_tut2,0,VO,Narrator,Female,Drag the figurine to scan the affected area.,666046b2314c693233a242da,
