game,key,English,Portuguese,English_Back_Translation
Doctor_Common,tdoc_spray_tut3,Drag around to spray the affected area.,Arrastar para pulverizar a zona afetada.,Drag to spray the affected area.
Doctor_Common,tdoc_spray_tut4,Spray many times until the affected area is covered completely.,Pulverizar várias vezes até que a área afetada esteja completamente coberta.,Spray several times until the affected area is completely covered.
Doctor_Common,tdoc_stethoscope_hold_figurine,Hold the stethoscope figurine as shown.,Segurar a figura do estetoscópio como indicado.,Hold the stethoscope figure as shown.
Doctor_Common,tdoc_stethoscope_text,Place the stethescope figurine.,Colocar a estatueta do estetoscópio.,Place the stethoscope figurine.
Doctor_Common,tdoc_stethoscope_tut1,Place the stethoscope figurine on the highlighted area.,Colocar a figura do estetoscópio na zona destacada.,Place the stethoscope figure in the highlighted area.
Doctor_Common,tdoc_stethoscope_tut2,Hold the figurine until the heart rate appears.,Segure a figura até aparecer o ritmo cardíaco.,Hold the figure until the heart rate appears.
Doctor_Common,tdoc_swipe_text,Swipe left or right.,Deslize para a esquerda ou para a direita.,Swipe left or right.
Doctor_Common,tdoc_syringe_hold_figurine,Hold the syringe figurine as shown.,Segurar a figura da seringa como indicado.,Hold the syringe figure as shown.
Doctor_Common,tdoc_syringe_text,Place the syringe figurine.,Colocar a figura da seringa.,Place the syringe figure.
Doctor_Common,tdoc_syringe_tut1,Place the syringe figurine on the highlighted area.,Colocar a figura da seringa na zona destacada.,Place the syringe figure in the highlighted area.
Doctor_Common,tdoc_syringe_tut2,Hold the figurine with both hands.,Segurar a estatueta com as duas mãos.,Hold the figurine with both hands.
Doctor_Common,tdoc_syringe_tut3,Pull the plunger to fill up the syringe.,Puxar o êmbolo para encher a seringa.,Pull the plunger to fill the syringe.
Doctor_Common,tdoc_syringe_tut4,Push the plunger to empty the syringe.,Empurrar o êmbolo para esvaziar a seringa.,Push the plunger to empty the syringe.
Doctor_Common,tdoc_temperature_100.0,100.0 °F,100.0 °F,100.0 °F
Doctor_Common,tdoc_temperature_101.0,101.0 °F,101.0 °F,101.0 °F
Doctor_Common,tdoc_temperature_102.0,102.0 °F,102.0 °F,102.0 °F
Doctor_Common,tdoc_temperature_103.0,103.0 °F,103.0 °F,103.0 °F
Doctor_Common,tdoc_temperature_104.0,104.0 °F,104.0 °F,104.0 °F
Doctor_Common,tdoc_temperature_97.0,97.0 °F,97.0 °F,97.0 °F
Doctor_Common,tdoc_temperature_97.8,97.8 °F,97.8 °F,97.8 °F
Doctor_Common,tdoc_temperature_98.0,98.0 °F,98.0 °F,98.0 °F
Doctor_Common,tdoc_temperature_98.6,98.6 °F,98.6 °F,98.6 °F
Doctor_Common,tdoc_temperature_99.8,99.8 °F,99.8 °F,99.8 °F
Doctor_Common,tdoc_thermometer_hold_figurine,Hold the thermometer figurine as shown.,Segurar a figura do termómetro como indicado.,Hold the thermometer figure as shown.
Doctor_Common,tdoc_thermometer_tut1,Place the thermometer figurine on the highlighted area.,Colocar a figura do termómetro na zona destacada.,Place the thermometer figure in the highlighted area.
Doctor_Common,tdoc_thermometer_tut2,Hold the figurine until the temperature appears.,Segurar a estatueta até aparecer a temperatura.,Hold the figurine until the temperature appears.
Doctor_Common,tdoc_tut_bandage,Learn to use the bandage figurine!,Aprender a utilizar a figura de ligadura!,Learn to use the ligature figure!
Doctor_Common,tdoc_tut_bloodpressure,Learn to use the blood pressure figurine!,Aprender a utilizar o boneco da tensão arterial!,Learn how to use the blood pressure dummy!
Doctor_Common,tdoc_tut_end,Great job! You’re all set to play!,Bom trabalho! Está tudo pronto para jogar!,Good job! You&#39;re all set to play!
Doctor_Common,tdoc_tut_flashlight,Learn to use the flash light figurine!,Aprende a utilizar a estatueta da luz de flash!,Learn how to use the flash light figurine!
Doctor_Common,tdoc_tut_magnifier,Learn to use the magnifier figurine!,Aprender a utilizar a figura da lupa!,Learn how to use the magnifying glass!
Doctor_Common,tdoc_tut_medicine,Learn to use the medicine figurine!,Aprender a utilizar a estatueta medicinal!,Learn how to use the medicinal figurine!
Doctor_Common,tdoc_tut_scissors,Learn to use the scissors figurine!,Aprender a utilizar a figura da tesoura!,Learn how to use the scissors figure!
Doctor_Common,tdoc_tut_spray,Learn to use the spray figurine!,Aprender a utilizar a estatueta de spray!,Learn how to use the spray figurine!
Doctor_Common,tdoc_tut_stethoscope,Learn to use the stethoscope figurine!,Aprenda a utilizar o estetoscópio!,Learn how to use a stethoscope!
Doctor_Common,tdoc_tut_syringe,Learn to use the syringe figurine!,Aprender a utilizar a seringa!,Learn to use the syringe!
Doctor_Common,tdoc_tut_thermometer,Learn to use the thermometer figurine!,Aprenda a utilizar a estatueta do termómetro!,Learn how to use the thermometer figurine!
Doctor_Common,tdoc_tut_ultrasound,Learn to use the ultrasound figurine!,Aprender a utilizar a estatueta de ultra-sons!,Learn how to use the ultrasound figurine!
Doctor_Common,tdoc_tut_xray,Learn to use the X ray figurine!,Aprender a utilizar a estatueta de raios X!,Learn how to use the X-ray figurine!
Doctor_Common,tdoc_ultrasound_hold_figurine,Hold the ultrasound figurine as shown.,Segurar a estatueta de ultra-sons como indicado.,Hold the ultrasound figurine as shown.
Doctor_Common,tdoc_ultrasound_text,Place the ultrasound figurine.,Colocar a estatueta de ultra-sons.,Place the ultrasound figurine.
Doctor_Common,tdoc_ultrasound_tut1,Place the ultrasound figurine on the highlighted area.,Colocar a figura de ultra-sons na zona destacada.,Place the ultrasound figure in the highlighted area.
Doctor_Common,tdoc_ultrasound_tut2,Drag the figurine to scan the affected area.,Arraste a figura para analisar a área afetada.,Drag the figure to analyze the affected area.
Doctor_Common,tdoc_xray_hold_figurine,Hold the X-ray figurine as shown.,Segurar a figura de raios X como indicado.,Hold the X-ray figure as shown.
Doctor_Common,tdoc_xray_text,Place the X-ray figurine.,Colocar a estatueta de raios X.,Place the X-ray figurine.
Doctor_Common,tdoc_xray_tut1,Place the X-ray figurine on the highlighted area.,Colocar a estatueta de raios X na zona assinalada.,Place the X-ray figurine in the marked area.
Doctor_Common,tdoc_xray_tut2,Drag the figurine to scan the affected area.,Arraste a figura para analisar a área afetada.,Drag the figure to analyze the affected area.
